Folkemengde 1. januar, etter tid, statistikkvariabel, region, alder og
kjønn

 ,Personer, , , , , , , 
 ,Hele landet, , , , , , , 
 ,0-5 år, ,6-15 år, ,16-66 år, ,67 år eller eldre, 
 ,Menn,Kvinner,Menn,Kvinner,Menn,Kvinner,Menn,Kvinner
1987,157539,149573,292169,278816,1377749,1342568,236479,340628
1988,159443,151474,285148,272414,1390229,1349898,241335,348348
1989,162776,154870,279206,266407,1401644,1357739,244456,353588
1990,167259,159192,273876,261182,1404854,1361180,247291,358282
1991,172584,164064,269602,256636,1409033,1366192,249775,361944
1992,177650,168773,267536,254366,1416329,1372204,251844,364932
1993,181978,172514,267899,254360,1423587,1379056,252956,366817
1994,185603,175729,270286,256943,1429516,1385987,253223,367528
1995,187117,176882,273530,260073,1436006,1393016,253604,368182
1996,187606,177539,277609,263837,1442319,1399514,253211,368322
1997,187676,177291,282476,268697,1448752,1406372,253240,368210
1998,187160,176847,288237,273560,1456447,1414442,253262,367644
1999,186055,176511,293523,278158,1467094,1424278,252887,366823
2000,186684,176855,299430,284189,1478778,1435054,252248,365259
2001,186054,176404,304568,288691,1489503,1444516,251176,362524
2002,183916,174647,309419,293114,1498820,1454543,249779,359828
2003,181054,172676,314718,298246,1512110,1468305,248225,356918
2004,179291,171265,318411,301306,1522996,1480858,248351,354979
2005,178749,170877,319188,302212,1536537,1494866,249596,354338
2006,177627,170188,319774,302884,1553112,1510424,251468,354742
2007,177701,170348,319336,302429,1574153,1527420,254598,355149
2008,179379,171785,317995,301570,1604496,1548218,257820,355908
2009,182955,174496,316424,301250,1635385,1572128,260289,356325
2010,186400,177197,316555,301190,1657809,1593905,265988,359155
2011,188971,179605,316291,301157,1682154,1615090,273433,363604
2012,191261,181177,315423,300986,1708453,1633969,283734,370867
2013,192530,182484,315511,301262,1733183,1653093,294684,378528
2014,192876,182868,316066,302051,1749566,1666907,308926,389796
2015,191844,182110,318469,303995,1766461,1680182,322050,400691
2016,189879,180242,321439,306683,1779196,1691850,334597,410099

